Roll: 1311CS08
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,40,40,8.0,40,40,8.0
2,44,44,8.136363636363637,84,84,8.071428571428571
3,50,50,9.6,134,134,8.64179104477612
4,45,45,9.0,179,179,8.731843575418994
