Roll: 1001ME03
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.326530612244898,49,49,7.326530612244898
2,44,44,6.840909090909091,93,93,7.096774193548387
3,47,47,7.659574468085107,140,140,7.285714285714286
4,49,49,8.775510204081632,189,189,7.671957671957672
5,46,46,8.608695652173912,235,235,7.85531914893617
6,46,46,8.565217391304348,281,281,7.97153024911032
7,40,40,8.85,321,321,8.080996884735203
8,40,40,8.4,361,361,8.11634349030471
