Roll: 1211MC06
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,40,40,8.4,40,40,8.4
2,40,40,9.0,80,80,8.7
3,50,50,9.8,130,130,9.123076923076923
4,45,45,9.0,175,175,9.09142857142857
