Roll: 1311MC11
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,40,40,9.25,40,40,9.25
2,44,44,9.227272727272727,84,84,9.238095238095237
3,50,50,9.8,134,134,9.447761194029852
4,45,45,10.0,179,179,9.58659217877095
