Roll: 1311MC03
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,40,40,9.7,40,40,9.7
2,44,44,9.545454545454545,84,84,9.619047619047619
3,50,50,10.0,134,134,9.761194029850746
4,45,45,10.0,179,179,9.82122905027933
