Roll: 1211MC08
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,40,40,7.25,40,40,7.25
2,40,40,9.1,80,80,8.175
3,50,50,9.2,130,130,8.569230769230769
4,45,45,9.0,175,175,8.68
