Roll: 1101CS06
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,8.673469387755102,49,49,8.673469387755102
2,44,44,8.5,93,93,8.591397849462366
3,43,43,8.116279069767442,136,136,8.441176470588236
4,47,47,8.085106382978724,183,183,8.349726775956285
5,48,48,7.9375,231,231,8.264069264069263
6,40,40,8.25,271,271,8.261992619926199
7,41,41,8.024390243902438,312,312,8.23076923076923
8,40,40,8.55,352,352,8.267045454545455
