Roll: 1201ME17
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,8.591836734693878,49,49,8.591836734693878
2,44,44,8.204545454545455,93,93,8.408602150537634
3,47,47,8.574468085106384,140,140,8.464285714285714
4,49,49,8.448979591836734,189,189,8.46031746031746
5,52,52,8.307692307692308,241,241,8.427385892116183
6,46,46,7.217391304347826,287,287,8.233449477351916
7,40,40,8.95,327,327,8.321100917431192
8,40,40,8.95,367,367,8.389645776566757
